Country,Year,Expenditure,EmploymentRate_Females,EmploymentRate_Males,Graduates,BachelorRate,MasterRate
Finland,2019,3704.6333333333337,81.9,86.4,56.4,25.94000053405762,12.69999980926514
Finland,2020,3851.433333333333,82.1,88.9,59.0,30.9471298520167,15.2984392421402
Finland,2021,3987.9666666666667,85.2,86.2,56.4,28.2076779567255,14.1994843337959
Germany,2015,38996.1,81.8,84.3,45.9,24.73999977111816,11.02999973297119
Germany,2016,39859.066666666666,81.6,83.1,45.7,25.57999992370605,11.51000022888184
Germany,2017,41136.26666666666,81.6,82.9,46.8,25.8552466017435,11.6356143689121
Germany,2018,43112.96666666667,82.6,84.6,46.5,25.14999961853027,11.19999980926514
Germany,2019,45706.299999999996,83.6,86.0,52.4,27.0112817257519,12.2291947338821
Germany,2020,46767.333333333336,80.3,83.4,49.1,28.35000038146973,12.47999954223633
Germany,2021,48737.966666666674,82.9,85.4,53.2,29.0407460609384,12.2709368355143
Greece,2014,1825.3999999999999,52.3,54.7,41.5,22.19000053405762,2.400000095367432
Greece,2015,2024.7666666666667,52.6,58.4,44.1,22.93000030517578,2.150000095367432
Greece,2017,1663.7,50.8,63.1,46.7,23.5572555635058,2.82107218114229
Greece,2018,1785.6333333333332,55.8,66.5,45.7,24.1726461592243,3.35388043296537
Greece,2019,1950.7666666666667,61.7,68.5,45.7,24.4034462500955,6.07135869903868
Hungary,2013,130076.59999999999,73.1,75.8,39.9,19.43000030517578,7.550000190734863
Hungary,2014,106901.2,72.0,81.3,40.9,19.89999961853027,8.479999542236328
Hungary,2015,104915.36666666668,72.7,83.3,37.9,20.67000007629395,8.899999618530273
Hungary,2017,144663.06666666668,73.5,85.8,36.5,20.7723314624609,8.8918467812975
Hungary,2018,158677.76666666666,77.9,84.8,36.7,21.7858906081459,10.096355193249
Hungary,2019,147164.99999999997,77.9,84.0,36.1,22.5712117411655,10.6177812089428
Iceland,2013,8264.266666666668,86.7,89.6,50.9,1.12614070286712,0.0
Iceland,2014,8695.199999999999,89.7,85.9,52.2,31.3127204414448,12.7220470881658
Iceland,2018,12542.733333333332,88.3,91.6,49.8,38.9894837476099,17.8011472275334
Iceland,2019,14195.266666666668,86.9,89.0,48.8,36.13999938964844,16.14999961853027
Iceland,2020,15142.999999999998,81.8,81.8,48.3,36.61999893188477,16.8700008392334
Iceland,2021,16726.366666666665,76.7,84.0,54.5,34.1569268492031,15.4466693910911
Ireland,2014,2080.2999999999997,77.8,77.1,75.8,30.8738169818589,9.19074021340391
Ireland,2016,2658.2,81.5,81.3,81.9,31.5917123267554,10.1446328863594
Ireland,2017,2697.6666666666665,83.0,83.8,89.2,31.15999984741211,11.38000011444092
Ireland,2018,2829.5333333333333,82.4,84.2,95.7,34.9246407001971,10.8323392148622
Ireland,2019,2898.4,83.4,86.2,94.8,35.1964337710582,10.9466256563224
Ireland,2020,2915.3333333333335,79.7,81.1,99.2,36.9319190416492,11.7628975084871
Ireland,2021,2750.9666666666667,83.8,83.0,102.2,37.7408877131549,13.0031869026469
Italy,2014,17706.13333333333,42.6,40.2,41.4,13.9848532032809,11.4863663547172
Italy,2015,15684.0,43.3,42.6,43.4,14.4994367688538,11.75578738936
