indicatorId,geoUnit,year,value,qualifier,magnitude
EA.6T8.AG25T99,BWA,2021,8.84055440322341,UIS_EST,
EA.6T8.AG25T99,BWA,2022,9.51717184427069,UIS_EST,
EA.6T8.AG25T99,BWA,2023,7.444300174713135,,
EA.6T8.AG25T99,CAF,2019,1.812039971351624,,
EA.6T8.AG25T99,CAN,2010,23.5518877069459,UIS_EST,
EA.6T8.AG25T99,CAN,2011,24.0642343925542,UIS_EST,
EA.6T8.AG25T99,CAN,2012,24.7599861300214,UIS_EST,
EA.6T8.AG25T99,CAN,2013,25.383914874635,UIS_EST,
EA.6T8.AG25T99,CAN,2014,25.6870316130903,UIS_EST,
EA.6T8.AG25T99,CAN,2015,26.5778074290962,UIS_EST,
EA.6T8.AG25T99,CAN,2016,25.75,,
EA.6T8.AG25T99,CAN,2017,27.9425655038533,UIS_EST,
EA.6T8.AG25T99,CAN,2018,28.5200103391678,UIS_EST,
EA.6T8.AG25T99,CAN,2019,29.7712158527963,UIS_EST,
EA.6T8.AG25T99,CAN,2020,30.9708321337646,UIS_EST,
EA.6T8.AG25T99,CAN,2021,29.32999992370605,,
EA.6T8.AG25T99,CAN,2022,32.350085054799,UIS_EST,
EA.6T8.AG25T99,CAN,2023,32.8881852813176,UIS_EST,
EA.6T8.AG25T99,CAN,2024,34.65941419756856,UIS_EST,
EA.6T8.AG25T99,CHE,2014,34.0826570119515,UIS_EST,
EA.6T8.AG25T99,CHE,2015,35.4598164144671,UIS_EST,
EA.6T8.AG25T99,CHE,2016,36.60432031352,UIS_EST,
EA.6T8.AG25T99,CHE,2017,37.8640955541727,UIS_EST,
EA.6T8.AG25T99,CHE,2018,38.9846873383995,UIS_EST,
EA.6T8.AG25T99,CHE,2019,39.5556106518768,UIS_EST,
EA.6T8.AG25T99,CHE,2020,40.4104697107726,UIS_EST,
EA.6T8.AG25T99,CHE,2021,40.1155194415354,UIS_EST,
EA.6T8.AG25T99,CHE,2022,40.0153978057576,UIS_EST,
EA.6T8.AG25T99,CHE,2023,41.2647756874978,UIS_EST,
EA.6T8.AG25T99,CHL,2010,11.769085314258,UIS_EST,
EA.6T8.AG25T99,CHL,2011,10.35999965667725,,
EA.6T8.AG25T99,CHL,2012,12.4730714559103,UIS_EST,
EA.6T8.AG25T99,CHL,2013,11.72000026702881,,
EA.6T8.AG25T99,CHL,2014,13.3998029675384,UIS_EST,
EA.6T8.AG25T99,CHL,2015,13.10000038146973,,
EA.6T8.AG25T99,CHL,2016,13.9364817144059,UIS_EST,
EA.6T8.AG25T99,CHL,2017,14.64000034332275,,
EA.6T8.AG25T99,CHL,2018,15.5733488472031,UIS_EST,
EA.6T8.AG25T99,CHL,2019,15.926553425463,UIS_EST,
EA.6T8.AG25T99,CHL,2020,19.1351918380172,UIS_EST,
EA.6T8.AG25T99,CHL,2021,19.6066045292361,UIS_EST,
EA.6T8.AG25T99,CHL,2022,20.282567003336,UIS_EST,
EA.6T8.AG25T99,CHL,2023,21.5449905281817,UIS_EST,
EA.6T8.AG25T99,CHN,2010,3.579999923706055,,
EA.6T8.AG25T99,CHN,2020,7.679999828338623,,
EA.6T8.AG25T99,CIV,2012,6.24849731520316,UIS_EST,
EA.6T8.AG25T99,CIV,2013,2.59874597549971,UIS_EST,
EA.6T8.AG25T99,CIV,2016,3.454580069,UIS_EST,
EA.6T8.AG25T99,CIV,2019,5.226125375552,UIS_EST,
EA.6T8.AG25T99,CIV,2021,4.980000019073486,,
EA.6T8.AG25T99,CIV,2022,4.76513660737722,UIS_EST,
EA.6T8.AG25T99,CMR,2010,1.440000057220459,,
EA.6T8.AG25T99,CMR,2014,5.79577033292977,UIS_EST,
EA.6T8.AG25T99,CMR,2018,6.422389984130859,,
EA.6T8.AG25T99,COD,2012,7.35328564527744,UIS_EST,
EA.6T8.AG25T99,COD,2013,1.740000009536743,,
EA.6T8.AG25T99,COD,2016,3.480000019073486,,
EA.6T8.AG25T99,COD,2018,7.414169788360596,,
EA.6T8.AG25T99,COG,2015,7.823019981384277,,
EA.6T8.AG25T99,COK,2016,11.5147512109203,UIS_EST,
EA.6T8.AG25T99,COK,2019,21.7967111797814,UIS_EST,
EA.6T8.AG25T99,COK,2023,8.14008270574162,UIS_EST,
EA.6T8.AG25T99,COL,2007,9.6899995803833,,
EA.6T8.AG25T99,COL,2008,9.960000038146973,,
EA.6T8.AG25T99,COL,2009,9.1899995803833,,
EA.6T8.AG25T99,COL,2010,9.470000267028809,,
EA.6T8.AG25T99,COL,2011,9.520000457763672,,
EA.6T8.AG25T99,COL,2012,9.470000267028809,,
EA.6T8.AG25T99,COL,2013,10.07999992370605,,
EA.6T8.AG25T99,COL,2014,10.51000022888184,,
EA.6T8.AG25T99,COL,2015,10.30000019073486,,
EA.6T8.AG25T99,COL,2016,10.89999961853027,,
EA.6T8.AG25T99,COL,2018,11.76000022888184,,
EA.6T8.AG25T99,COL,2019,12.06999969482422,,
EA.6T8.AG25T99,COL,2020,12.85000038146973,,
EA.6T8.AG25T99,COL,2022,16.2004608172535,UIS_EST,
EA.6T8.AG25T99,COL,2023,16.4727370334322,UIS_EST,
